"X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
95,96,133,293,362,416,433,282,342,469,471
311,272,206,756,695,658,496,552,521,564,437
996,1106,499,1136,1207,1181,876,1372,1334,1380,1331
499,512,486,780,2062,1392,991,1551,1494,1464,1505
40,153,34,227,325,197,154,149,326,367,298
NA,NA,NA,4,4,4,4,4,4,4,4
5,3,3,75,13,56,16,18,23,14,NA
1,3,6,8,5,7,6,9,10,19,19
364,324,93,577,487,1103,157,531,589,548,440
746,590,669,749,852,375,299,373,339,333,296
1,2,2,NA,3,2,NA,4,7,2,NA
