"X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
0.74,0.804,0.805,0.996,0.993,0.812,0.717,0.8,0.812,0.812,0.809
0.443,0.487,0.443,0.995,0.781,0.782,0.737,0.781,0.955,0.912,0.814
0.675,0.75,0.792,0.992,0.999,1,0.675,0.916,0.993,0.993,0.991
0.303,0.317,0.313,0.375,0.939,0.623,0.629,0.636,0.636,0.638,0.6
0.118,0.596,0.118,0.729,0.815,0.616,0.354,0.401,0.772,0.858,0.702
0,0,0,1,1,1,1,1,1,1,1
0.235,0.235,0.235,1,0.235,1,0.235,0.235,0.235,0.235,0
0.893,0.893,0.893,0.893,0.893,1,0.893,0.893,0.893,0.893,0.893
0.229,0.257,0.154,0.399,0.349,0.781,0.108,0.361,0.432,0.371,0.324
0.707,0.728,0.728,0.776,0.951,0.391,0.373,0.391,0.391,0.391,0.428
1,1,1,0,1,1,0,1,1,1,0
